迭代代数,Pareto解数量,当前最高喜好度,当前最低行车时间min,当前最低日耗时方差
57,80,64.19999999999999,312.0,0.13359999999999933
58,80,64.19999999999999,312.0,0.13359999999999933
59,80,64.19999999999999,312.0,0.13359999999999933
60,80,64.19999999999999,312.0,0.13359999999999933
61,80,64.19999999999999,312.0,0.13359999999999933
62,80,64.19999999999999,312.0,0.13359999999999933
63,80,64.19999999999999,312.0,0.13359999999999933
64,80,64.19999999999999,312.0,0.13359999999999933
65,80,64.19999999999999,312.0,0.13359999999999933
66,80,64.19999999999999,312.0,0.13359999999999933
67,80,64.19999999999999,312.0,0.13359999999999933
68,80,64.19999999999999,312.0,0.13359999999999933
69,80,64.19999999999999,312.0,0.13359999999999933
70,80,64.19999999999999,312.0,0.13359999999999933
71,80,64.19999999999999,312.0,0.13359999999999933
72,80,64.19999999999999,312.0,0.13359999999999933
73,80,64.19999999999999,312.0,0.13359999999999933
74,80,64.19999999999999,312.0,0.13359999999999933
75,80,64.19999999999999,312.0,0.13359999999999933
76,80,64.19999999999999,312.0,0.13359999999999933
77,80,64.19999999999999,312.0,0.13359999999999933
78,80,64.19999999999999,312.0,0.13359999999999933
79,80,64.19999999999999,312.0,0.13359999999999933
80,80,64.19999999999999,312.0,0.13359999999999933
81,80,64.19999999999999,312.0,0.13359999999999933
82,80,64.19999999999999,312.0,0.13359999999999933
83,80,64.19999999999999,312.0,0.13359999999999933
84,80,64.19999999999999,312.0,0.13359999999999933
85,80,64.19999999999999,312.0,0.13359999999999933
86,80,64.19999999999999,312.0,0.13359999999999933
87,80,64.19999999999999,312.0,0.13359999999999933
88,80,64.19999999999999,312.0,0.13359999999999933
89,80,64.19999999999999,312.0,0.13359999999999933
90,80,64.19999999999999,312.0,0.13359999999999933
91,80,64.19999999999999,312.0,0.13359999999999933
92,80,64.19999999999999,312.0,0.13359999999999933
93,80,64.19999999999999,312.0,0.13359999999999933
94,80,64.19999999999999,312.0,0.13359999999999933
95,80,64.19999999999999,312.0,0.13359999999999933
96,80,64.19999999999999,312.0,0.13359999999999933
97,80,64.19999999999999,312.0,0.13359999999999933
98,80,64.19999999999999,312.0,0.13359999999999933
99,80,64.19999999999999,312.0,0.13359999999999933
100,80,64.19999999999999,312.0,0.13359999999999933
101,80,64.19999999999999,312.0,0.13359999999999933
102,80,64.19999999999999,312.0,0.13359999999999933
103,80,64.19999999999999,312.0,0.13359999999999933
104,80,64.19999999999999,312.0,0.13359999999999933
105,80,64.19999999999999,312.0,0.13359999999999933
106,80,64.19999999999999,312.0,0.13359999999999933
107,80,64.19999999999999,312.0,0.13359999999999933
108,80,64.19999999999999,312.0,0.13359999999999933
109,80,64.19999999999999,312.0,0.13359999999999933
110,80,64.19999999999999,312.0,0.13359999999999933
111,80,64.19999999999999,312.0,0.13359999999999933
112,80,64.19999999999999,312.0,0.13359999999999933
113,80,64.19999999999999,312.0,0.13359999999999933
114,80,64.19999999999999,312.0,0.13359999999999933
115,80,64.19999999999999,312.0,0.13359999999999933
116,80,64.19999999999999,312.0,0.13359999999999933
117,80,64.19999999999999,312.0,0.13359999999999933
118,80,64.19999999999999,312.0,0.13359999999999933
119,80,64.19999999999999,312.0,0.13359999999999933
120,80,64.19999999999999,312.0,0.13359999999999933
