方案编号,是否最终基准方案,优选景点数,优选景点,优选景点名称,总喜好度,TOPSIS总贴近度,总行车时间min,日均行车时间min,日耗时方差,综合筛选得分
P11,否,8,A10、A3、A9、A8、A2、A4、A1、A7,文创小镇、滨海浴场、山地观景台、亲子农庄、海洋乐园、森林公园、古城老街、环湖湿地,62.99999999999999,3.68784220910393,570.0,114.0,0.13999999999999943,0.7476080902148341
P12,否,8,A1、A10、A8、A3、A2、A9、A7、A4,古城老街、文创小镇、亲子农庄、滨海浴场、海洋乐园、山地观景台、环湖湿地、森林公园,63.0,3.6878422091039305,588.0,117.6,0.15439999999999926,0.7313983280599006
P13,否,8,A1、A10、A8、A3、A9、A7、A2、A4,古城老街、文创小镇、亲子农庄、滨海浴场、山地观景台、环湖湿地、海洋乐园、森林公园,63.0,3.6878422091039305,588.0,117.6,0.15439999999999926,0.7313983280599006
P14,否,8,A1、A10、A9、A7、A8、A3、A2、A4,古城老街、文创小镇、山地观景台、环湖湿地、亲子农庄、滨海浴场、海洋乐园、森林公园,63.0,3.6878422091039305,588.0,117.6,0.15439999999999926,0.7313983280599006
P15,否,8,A1、A10、A8、A3、A9、A7、A4、A2,古城老街、文创小镇、亲子农庄、滨海浴场、山地观景台、环湖湿地、森林公园、海洋乐园,63.0,3.6878422091039305,588.0,117.6,0.15439999999999926,0.7313983280599006
P16,否,8,A9、A10、A8、A5、A1、A3、A4、A2,山地观景台、文创小镇、亲子农庄、民俗古村、古城老街、滨海浴场、森林公园、海洋乐园,63.4,3.7381390402813697,600.0,120.0,0.21999999999999983,0.7277887934970753
P17,否,8,A8、A5、A3、A7、A1、A6、A2、A10,亲子农庄、民俗古村、滨海浴场、环湖湿地、古城老街、山野溪谷、海洋乐园、文创小镇,63.0,3.7538340950040476,462.0,92.4,2.870400000000002,0.7094019047572397
P18,否,8,A8、A5、A6、A1、A10、A2、A3、A4,亲子农庄、民俗古村、山野溪谷、古城老街、文创小镇、海洋乐园、滨海浴场、森林公园,64.19999999999999,3.804988627061423,600.0,120.0,1.0600000000000018,0.7071719680326042
P19,否,8,A5、A8、A6、A1、A10、A2、A3、A4,民俗古村、亲子农庄、山野溪谷、古城老街、文创小镇、海洋乐园、滨海浴场、森林公园,64.19999999999999,3.804988627061423,600.0,120.0,1.0600000000000018,0.7071719680326042
P20,否,8,A10、A3、A9、A8、A2、A4、A7、A5,文创小镇、滨海浴场、山地观景台、亲子农庄、海洋乐园、森林公园、环湖湿地、民俗古村,61.599999999999994,3.533400850232889,588.0,117.6,0.13839999999999944,0.697552410972986
P21,否,8,A9、A8、A7、A5、A3、A10、A2、A4,山地观景台、亲子农庄、环湖湿地、民俗古村、滨海浴场、文创小镇、海洋乐园、森林公园,61.599999999999994,3.533400850232889,588.0,117.6,0.13839999999999944,0.697552410972986
P22,否,8,A4、A9、A7、A8、A3、A10、A5、A2,森林公园、山地观景台、环湖湿地、亲子农庄、滨海浴场、文创小镇、民俗古村、海洋乐园,61.6,3.533400850232889,606.0,121.2,0.13359999999999933,0.6822660098522171
P23,否,8,A4、A6、A1、A10、A2、A7、A8、A5,森林公园、山野溪谷、古城老街、文创小镇、海洋乐园、环湖湿地、亲子农庄、民俗古村,63.5,3.710388305972142,618.0,123.6,0.9223999999999999,0.6809644550904463
P24,否,8,A5、A9、A1、A8、A4、A2、A6、A10,民俗古村、山地观景台、古城老街、亲子农庄、森林公园、海洋乐园、山野溪谷、文创小镇,63.69999999999999,3.683695113077289,660.0,132.0,0.9520000000000003,0.6482790985561069
P25,否,8,A5、A9、A8、A10、A2、A3、A1、A4,民俗古村、山地观景台、亲子农庄、文创小镇、海洋乐园、滨海浴场、古城老街、森林公园,63.4,3.7381390402813706,564.0,112.8,2.6856000000000004,0.640248330118423
P26,否,7,A8、A10、A3、A7、A6、A2、A1,亲子农庄、文创小镇、滨海浴场、环湖湿地、山野溪谷、海洋乐园、古城老街,55.800000000000004,3.4657231103197255,444.0,88.8,0.9576,0.6388870111431963
P27,否,7,A8、A10、A3、A7、A2、A9、A1,亲子农庄、文创小镇、滨海浴场、环湖湿地、海洋乐园、山地观景台、古城老街,55.0,3.398873523539673,420.0,84.0,1.4440000000000004,0.6164046336698931
P28,否,8,A2、A3、A7、A1、A5、A10、A8、A4,海洋乐园、滨海浴场、环湖湿地、古城老街、民俗古村、文创小镇、亲子农庄、森林公园,63.199999999999996,3.7648322331762234,498.0,99.6,4.326400000000001,0.6132909318528768
P29,否,8,A2、A3、A4、A1、A5、A7、A10、A8,海洋乐园、滨海浴场、森林公园、古城老街、民俗古村、环湖湿地、文创小镇、亲子农庄,63.199999999999996,3.7648322331762234,498.0,99.6,4.326400000000001,0.6132909318528768
P30,否,8,A1、A5、A2、A10、A8、A9、A4、A3,古城老街、民俗古村、海洋乐园、文创小镇、亲子农庄、山地观景台、森林公园、滨海浴场,63.39999999999999,3.73813904028137,528.0,105.6,3.9064,0.6125724404547597
P31,否,7,A8、A5、A7、A10、A1、A2、A3,亲子农庄、民俗古村、环湖湿地、文创小镇、古城老街、海洋乐园、滨海浴场,55.2,3.4758635476119655,378.0,75.6,2.4303999999999997,0.6101189120364784
P32,否,8,A1、A10、A2、A3、A7、A5、A8、A4,古城老街、文创小镇、海洋乐园、滨海浴场、环湖湿地、民俗古村、亲子农庄、森林公园,63.2,3.7648322331762234,504.0,100.8,4.333600000000001,0.6077722576719619
P33,否,8,A1、A2、A3、A6、A10、A4、A7、A8,古城老街、海洋乐园、滨海浴场、山野溪谷、文创小镇、森林公园、环湖湿地、亲子农庄,63.8,3.754691795883983,594.0,118.8,3.5496000000000025,0.5827251245056194
P34,否,8,A6、A10、A5、A8、A1、A4、A2、A3,山野溪谷、文创小镇、民俗古村、亲子农庄、古城老街、森林公园、海洋乐园、滨海浴场,64.19999999999999,3.804988627061423,594.0,118.8,3.9136000000000024,0.5751098481230298
P35,否,7,A7、A3、A10、A5、A1、A9、A8,环湖湿地、滨海浴场、文创小镇、民俗古村、古城老街、山地观景台、亲子农庄,53.0,2.9328482036632497,408.0,81.6,1.6024000000000005,0.5696811832736945
P36,否,7,A1、A10、A5、A8、A7、A2、A3,古城老街、文创小镇、民俗古村、亲子农庄、环湖湿地、海洋乐园、滨海浴场,55.2,3.4758635476119655,360.0,72.0,3.8679999999999986,0.5564994959827324
P37,否,8,A6、A10、A1、A8、A4、A2、A7、A3,山野溪谷、文创小镇、古城老街、亲子农庄、森林公园、海洋乐园、环湖湿地、滨海浴场,63.8,3.754691795883983,576.0,115.2,4.681599999999998,0.5438025382456564
P38,否,8,A6、A10、A1、A8、A4、A7、A2、A3,山野溪谷、文创小镇、古城老街、亲子农庄、森林公园、环湖湿地、海洋乐园、滨海浴场,63.8,3.754691795883983,570.0,114.0,5.332000000000001,0.517696097006442
P39,否,6,A10、A8、A5、A3、A7、A1,文创小镇、亲子农庄、民俗古村、滨海浴场、环湖湿地、古城老街,46.0,2.7217272430512205,330.0,66.0,0.7520000000000004,0.5047428386453126
P40,否,6,A10、A8、A5、A7、A3、A2,文创小镇、亲子农庄、民俗古村、环湖湿地、滨海浴场、海洋乐园,46.60000000000001,3.033311204056603,366.0,73.2,1.2896000000000016,0.46268941176525485
P41,否,6,A10、A8、A1、A5、A7、A3,文创小镇、亲子农庄、古城老街、民俗古村、环湖湿地、滨海浴场,46.0,2.7217272430512205,312.0,62.4,2.794400000000002,0.42203755001538923
P42,否,6,A1、A5、A3、A10、A8、A6,古城老街、民俗古村、滨海浴场、文创小镇、亲子农庄、山野溪谷,47.0,2.761883636936421,402.0,80.4,2.1543999999999985,0.39995531898292436
